WonderNetwork Server Locations
267 locations, 98 countries, 6 continents

Name                Location              Country
Lugano              Lugano                Switzerland
Luxembourg          Steinsel              Luxembourg
Lyon                Lyon                  France
Madrid              Madrid                Spain
Maidstone           Maidstone             United Kingdom
Manchester          Manchester            United Kingdom
Manhattan           New York City         United States
Manila              Manila                Philippines
Marseille           Marseille             France
Medellin            Medellin              Colombia
Melbourne           Melbourne             Australia
Memphis             Memphis               United States
Mexico City         Mexico City           Mexico
Miami               Miami                 United States
Milan               Milan                 Italy
Milwaukee           Milwaukee             United States
Minneapolis         Minneapolis           United States
Montevideo          Pando                 Uruguay
Monticello          Monticello            United States
Montreal            Laval                 Canada
Moscow              Moscow                Russia
Mumbai              Mumbai                India
Munich              Munich                Germany
Muscat              Muscat                Oman
Nairobi             Nairobi               Kenya
New Delhi           New Delhi             India
New Orleans         New Orleans           United States
New York            Garden City           United States
Newcastle           Newcastle             United Kingdom
Novi Travnik        Novi Travnik          Bosnia and Herzegovina
Novosibirsk         Novosibirsk           Russia
Nuremberg           Nuremberg             Germany
Orlando             Orlando               United States
Osaka               Osaka                 Japan
Oslo                Oslo                  Norway
Ottawa              Ottawa                Canada
Oulu                Oulu                  Finland
Palermo             Palermo               Italy
Panama              Panama City           Panama
Paris               Paris                 France
Perth               Perth                 Australia
Philadelphia        Philadelphia          United States
Phnom Penh          Phnom Penh            Cambodia
Phoenix             Phoenix               United States
Piscataway          Piscataway            United States
Pittsburgh          Pittsburgh            United States
Portland            Portland              United States
Prague              Prague                Czech Republic
Pune                Pune                  India
Quebec City         Quebec City           Canada
Quito               Quito                 Ecuador
Raleigh             Cary                  United States
Redding             Redding               United States
Reykjavik           Hafnarfjordur         Iceland
Riga                Riga                  Latvia
Riyadh              Riyadh                Saudi Arabia
Rome                Rome                  Italy
Roseburg            Roseburg              United States
Roubaix             Roubaix               France
Sacramento          Sacramento            United States
Salem               Salem                 United States
Salt Lake City      Salt Lake City        United States
San Antonio         San Antonio           United States
San Diego           San Diego             United States
San Francisco       San Francisco         United States
San Jose            San Jose              United States
San Juan            San Juan              Puerto Rico
Santiago            Santiago              Chile
Sao Paulo           Sao Paulo             Brazil
Saskatoon           Saskatoon             Canada
Savannah            Savannah              United States
Scranton            Scranton              United States
Seattle             Seattle               United States
Secaucus            Secaucus              United States
Seoul               Seoul                 South Korea
Seville             Seville               Spain
Shanghai            Shanghai              China
Shenzhen            Shenzhen              China
Siauliai            Siauliai              Lithuania
Singapore           Singapore             Singapore
Skopje              Skopje                North Macedonia
Sofia               Sofia                 Bulgaria
Spokane             Liberty Lake          United States
St Louis            St Louis              United States
St Petersburg       St Petersburg         Russia
Stockholm           Stockholm             Sweden
Strasbourg          Strasbourg            France
Sydney              Sydney                Australia
Syracuse            Syracuse              United States
Taipei              Taipei                Taiwan
Tallinn             Tallinn               Estonia
Tampa               Tampa                 United States
Tashkent            Tashkent              Uzbekistan
Tbilisi             Tbilisi               Georgia
Tel Aviv            Tel Aviv              Israel
The Hague           The Hague             Netherlands
Thessaloniki        Thessaloniki          Greece
Tirana              Tirana                Albania
Tokyo               Tokyo                 Japan
Toledo              Toledo                United States
Toronto             Toronto               Canada
Tunis               Tunis                 Tunisia
Valencia            Valencia              Spain
Valletta            Valletta              Malta
Vancouver           Vancouver             Canada
Varna               Varna                 Bulgaria
Venice              Noventa di Piave      Italy
Vienna              Vienna                Austria
Vientiane           Vientiane             Laos
Vilnius             Vilnius               Lithuania
Warsaw              Warsaw                Poland
Washington          Herndon               United States
Wellington          Wellington            New Zealand
Westpoort           Westpoort             Netherlands
Wilmington          Wilmington            United States
Winnipeg            Winnipeg              Canada
Yangon              Yangon                Myanmar
Yerevan             Yerevan               Armenia
Zagreb              Zagreb                Croatia
Zhangjiakou         Zhangjiakou           China
Zurich              Zurich                Switzerland

Source: WonderNetwork (wondernetwork.com)
